,1,2,3,4,5,E,SD
RMSE,31.643083611477184,27.490846471176937,29.115424136899914,28.978602737426744,29.77079455864099,29.399750303124353,1.34702180030122,
R2,0.3350069930016649,0.28049842186855745,0.36527047085161757,0.3035971832696498,0.2626067893183389,0.30939597166196575,0.03697514297206564,
W[0],0.5206934615155865,-1.9908070902932187,0.3560207622215392,0.5951371190913132,0.5072022158338806,-0.002350706326179841,0.9972562342673609,
W[1],-0.5345820660594413,-0.6481707223789721,-0.38016470878942843,-0.4318422396540348,-0.45814458755439913,-0.49058086488725516,0.09323597438518788,
W[2],-2.1838617557690148,-0.35797311405789395,-1.8003776078418772,-1.8855616400499031,-2.6373391295594266,-1.7730226494556232,0.7657166910596942,
W[3],-0.06199584743012555,-0.14402489869459956,-0.05822231141733766,-0.19370432979813862,-0.033128124484811096,-0.0982151023650025,0.06060412929979955,
W[4],0.6703976132313731,-0.027898285162303176,1.1260455717636109,-1.2189758039042338,1.4533169633880159,0.4005772118632926,0.9501485775481904,
W[5],4.065215313420708,2.2270932246820343,2.405758775846876,3.104973822132007,2.0891360489903823,2.7784354370144015,0.7321788773910726,
W[6],4.566858676929207,1.9125960944122462,3.6470180545744926,2.5762440769379853,0.9441608496240915,2.7293755504956048,1.2724764407643774,
W[7],-0.179476302731009,1.1645102222964614,0.5943456585774471,1.7135910080807903,2.550604958454922,1.1687151089357224,0.9331717238259839,
W[8],6.690790380077587,5.221810855501559,5.199389637545401,4.166217204503848,5.819900869005529,5.419621789326785,0.8288241486846405,
W[9],-0.08758282072670527,-0.980748519050639,-2.093889647656812,-1.7003260478855244,-3.9711050390047697,-1.7667304148648904,1.2967663143800876,
W[10],-1.1277537532651785,-0.5274731699263355,-0.36397719794801936,-0.513949095392816,-0.8673137721553288,-0.6800933977375356,0.2779487641333905,
W[11],2.210411003194134,1.4065849914659296,1.2048012415270295,1.975523271727908,1.0260189553606738,1.5646678926551352,0.4539654601867013,
W[12],3.1867315841085024,3.3743226004680653,3.4386070700100078,3.872569754148651,4.611924582473645,3.696831118241774,0.5097397481607788,
W[13],-0.5996415421972001,-0.2907559839405887,-1.0340938566421058,-0.32193442527772886,1.191237270982089,-0.21103770741510686,0.7501283311369431,
W[14],0.2322139201272061,-0.2114201248257242,-0.03715402452127534,0.8251380084256438,0.298308069798674,0.22141716980090487,0.35347271958744747,
W[15],0.7046153418780611,1.3389494249144265,0.43522554308002814,1.5516416608231194,1.5672151452293617,1.1195294231849995,0.463834911146508,
W[16],2.30759730617483,2.255826052307665,1.3281934171004868,1.634349237604695,0.7103685466383988,1.6472669119652152,0.5976844928889326,
W[17],0.8286925337528562,2.8277769800870396,1.8799274267417474,3.839743585504289,4.5041776901709545,2.7760636432513777,1.3202864692609924,
W[18],-1.3419250917932344,-0.7934750504675767,-2.089568150757619,0.0030537582415589987,-2.2131091980843647,-1.2870047465722472,0.826149650359663,
W[19],-1.430823640281818,-0.11053189665390681,-1.1073414642312387,0.2944700729229457,-1.572937241180816,-0.7854328338849669,0.7432360612875183,
W[20],-5.145012657737948,-2.934806320860061,-3.4038741355321984,-3.503136624018073,-3.5890431584565663,-3.715174579320969,0.7498251456740924,
W[21],-1.4779846366389755,-2.4799867472940837,-0.5175916150505255,-3.4671063958284996,-3.887685418755803,-2.3660709627135774,1.2446798467947764,
W[22],-2.3714861252758643,-3.569135116351741,-3.3080942572512084,-3.0012914818129275,-1.7652123743772645,-2.8030438710138013,0.6549213857138562,
W[23],-2.9736132784442866,-1.845919528751793,-1.4386737533157092,-0.6121889544050465,-0.1985239494322066,-1.4137838928698083,0.9736364414451719,
W[24],-0.2577126851766955,0.4019907282227997,-0.8781865048875116,0.47860194390238764,-0.8946571696097969,-0.22999273750976332,0.594005368048102,
W[25],1.9031700786956938,0.4813677797753273,0.33414531543874143,0.5438282843077998,0.3240789321712926,0.717318078077771,0.5989114477253831,
W[26],0.6987133844269938,0.8830742670568766,0.9607157916153621,0.9779770034528411,0.7879019084336087,0.8616764709971365,0.10563344188288315,
W[27],-1.0714786667453975,-1.0023900869274287,-0.08880837015167434,-0.1275406353230887,2.0700647444189277,-0.044030602945732335,1.1360000471862546,
W[28],-3.454594576134067,-1.6740756792586482,-1.4271135846404837,-2.068183332018603,-2.2848760366821925,-2.1817686417467987,0.7029758197977183,
W[29],2.4138692004855913,0.3793339205255544,1.7975124400063718,0.09859982854938115,1.2492712945483726,1.1877173368230542,0.8624091888325622,
W[30],10.782906737248835,12.159440939512779,10.856838858433308,11.223753778480758,10.83934835509302,11.17245773375374,0.5175121726381455,
W[31],3.8829127446111773,2.6719918692276163,3.757032538322776,3.0854246028551864,3.8896759586960625,3.4574075427425632,0.49253119413796514,
W[32],-4.902087747160104,-3.0181244048834834,-4.568604540346544,-2.1995241371390604,-4.061225431569915,-3.7499132522198217,1.003384083021445,
W[33],7.099463414653134,6.318725338349818,6.5931150443841435,6.470030848726047,7.2171633376902715,6.7396995967606825,0.3546348035581477,
W[34],-3.9744908259185907,-3.907391419971386,-4.096645755676624,-3.988597821067864,-4.084092816281588,-4.010243727783211,0.07105548647025298,
W[35],0.038238957916138246,0.08459784480884358,0.051614035743565254,-0.1853278651930878,0.06472795500409274,0.010770185655910406,0.09923624661914285,
W[36],2.627566711194744,4.754584592220627,2.2626272876545594,2.5530776733912357,2.841754024838342,3.0079220578599015,0.8928000585184303,
W[37],0.04606251673909034,-0.39432314495348375,0.9236888101902967,0.27382325333091717,0.09273069077818363,0.1883964252170008,0.42823489023415945,
W[38],0.732880843488444,0.7893324763068232,0.8705247856923997,0.8205926297039166,0.8778474186477367,0.818235630767864,0.05369191460593657,
W[39],-0.2864728440893886,-0.036096361326550266,-0.2132460998125141,-0.24201257367814943,-0.011209017257341726,-0.1578073792327888,0.11227058383345097,
W[40],-0.32457400609308185,-0.17654323241672137,-0.01961263672059101,-0.38955823653790117,-0.07308635409147272,-0.19667489317195364,0.14183978331236757,
W[41],-0.36379993768870456,-0.0039731386183446925,0.004462665670752489,-0.5158089574974803,0.08890001789004778,-0.15804387004874587,0.23725887355091219,
W[42],0.09617604235615489,0.28279920675989706,0.43404322599323003,0.13139940255494564,0.28426677325729655,0.2457369301843048,0.12145694841038322,
W[43],-0.11850119315132174,0.13927615643082,0.328997751892121,-0.004258909636302853,0.2178807289890066,0.1126789069048646,0.1585480188133514,
W[44],-0.21698180404370934,0.3635253357072012,0.45002493853107994,0.07137251829586912,0.30196428827108834,0.19398105535230586,0.24078514774295598,
W[45],-0.2824562457955178,-0.06370821733242198,0.013404774199371014,-0.3009271629015591,-0.1291149943320415,-0.15256036923243385,0.12237194412737834,
W[46],-0.1370659711044454,0.08957621256018704,-0.5467215539821334,-0.18903435667228824,-0.045526421258171065,-0.1657544180913702,0.21267319686839237,
W[47],0.11420399155393829,0.38514267042992567,0.09877053579715185,0.1399453041052188,0.249173379101385,0.19744717619752392,0.10759012135547318,
W[48],-0.20903497647401922,0.12052392364717368,-0.15465518677956133,-0.13823344469584176,0.15704942410719125,-0.044870052039011475,0.152214495599851,
W[49],0.268700569817302,0.5369380220678288,0.176815353010927,0.472349915224761,0.20161686072796645,0.33128414416975704,0.146139648879988,
W[50],-0.15860184807133942,0.16805666711296582,-0.3039938291175219,-0.0011873257813746992,0.02826817921168112,-0.05349163132911781,0.1626674917133101,
W[51],-0.12231126990944569,0.23866470805413778,-0.16755207816914058,-0.005701365907232511,0.1009339685043372,0.00880679251453124,0.14820726170839169,
W[52],-0.2049198132300845,0.006833513638326852,-0.4961814045222547,-0.28789708893647653,-0.1167936690740454,-0.21979169242490687,0.16924441947398208,
W[53],7.257043130473058,7.3924205194750705,7.28668838316978,7.303696345266478,7.406414685327835,7.329252612742444,0.059368704992978444,
